tid,views,replies
206429,194,3
206431,535,3
206433,372,6
206434,532,32
206436,392,6
206446,501,2
206452,124,4
206455,123,4
206456,539,1
206457,260,3
206458,241,2
206460,122,4
206461,123,6
206462,740,5
206463,113,9
206466,2346,2
206468,262,5
206469,245,3
206473,175,2
206478,309,1
206480,880,1
206481,267,1
206483,355,1
206484,259,2
206485,234,2
206486,391,3
206487,130,1
206488,133,1
206489,145,4
206490,116,2
206491,229,1
206492,129,2
206494,220,2
206497,326,2
206500,311,2
206501,2102,117
206502,151,1
206505,173,3
206506,1837,24
206510,585,37
206515,112,3
206528,365,6
206529,353,16
206531,159,1
206532,202,2
206533,161,2
206534,149,6
206538,101,4
206539,1587,10
206540,387,4
206541,503,2
206544,148,1
206548,102,6
206549,413,7
206550,136,11
206552,580,2
206553,185,6
206555,148,12
206557,270,5
206558,195,3
206559,568,11
206565,112,8
206569,573,24
206570,338,5
206571,1683,7
206572,201,4
206573,1304,8
206575,345,26
206588,268,3
206605,169,2
206607,124,6
206608,172,4
206615,115,2
206622,459,20
206623,7142,3
206627,106,1
206628,196,3
206630,240,11
206632,162,1
206633,327,3
206635,377,3
206637,2520,83
206638,182,3
206640,230,2
206653,159,7
206655,197,1
206663,143,1
206664,190,2
206666,156,2
206667,820,10
206670,674,10
206671,2824,19
206672,477,5
206676,491,2
206680,141,5
206682,260,16
206683,22583,50
206689,144,1
206691,2413,31
206692,261,2
206693,1266,12
206696,192,5
206697,714,3
206698,131,5
282182,3433,3
206704,1879,11
206710,110,1
206718,130,2
206735,273,2
206737,566,7
206738,109,1
206740,263,6
206744,122,3
206750,378,2
206751,379,2
206759,124,2
206762,119,2
206764,226,5
206731,835,16
206769,356,3
206773,355,2
206774,149,1
206775,131,4
206776,290,5
206778,530,3
206779,104,1
206780,162,10
206781,175,12
206783,139,2
206784,127,8
206786,468,3
206790,174,4
206791,129,14
206797,123,2
206798,2167,3
206799,238,9
206804,289,7
206806,168,18
206814,480,9
206815,114,2
206816,187,6
206822,604,3
206826,139,5
206832,114,8
206833,172,1
206834,101,3
206836,135,11
206837,186,1
206839,141,2
206840,462,1
206843,279,6
206844,372,12
206845,373,2
206846,205,1
206847,315,2
206849,4679,5
206851,308,7
206853,11268,162
206854,117,3
206855,254,9
206857,2812,131
206191,850,23
206859,104,6
206861,251,6
206865,250,4
206867,147,9
206870,317,1
206871,133,1
206876,182,4
206878,110,12
206879,272,2
206880,821,1
206884,398,1
206885,164,1
282183,17288,14
206860,423,10
206888,1438,5
206891,212,4
206892,445,1
206895,110,4
206897,166,8
206899,261,3
206903,260,1
206905,348,1
206906,240,1
206907,199,3
206915,180,6
206918,415,10
206921,200,3
206922,488,3
206923,140,7
206925,227,2
206926,348,12
206928,805,3
206929,115,2
206932,511,5
206934,309,1
206935,169,2
206936,127,1
206937,140,2
206948,189,1
206950,241,1
206954,110,6
206955,205,2
206956,1264,12
206957,145,2
206958,200,8
206962,362,2
206963,139,7
206966,115,13
206967,121,5
206971,703,2
206975,150,6
206977,338,18
282184,670,1
206979,397,4
206980,1673,26
206981,123,7
206982,657,1
206991,441,7
206992,819,6
206993,887,20
207002,105,19
207005,119,7
207016,112,12
207017,137,2
207020,122,12
207021,112,4
207024,108,5
207025,120,10
207027,115,4
207030,233,2
207033,245,1
207034,234,1
207037,437,6
207038,8955,17
207040,431,6
207041,150,10
207042,102,13
207043,299,14
207044,229,5
207045,10977,85
207050,565,13
207051,1899,8
207053,354,3
207054,182,1
207058,480,11
207059,111,4
207060,389,7
207061,267,6
207062,550,5
207065,1140,7
207069,106,2
207071,448,3
207072,173,6
207077,1662,6
207078,254,10
207079,284,1
207080,318,28
207081,276,1
207082,742,2
207083,367,1
207085,417,1
207088,849,2
207095,406,28
207099,143,5
207101,170,4
207103,405,11
207104,159,1
207106,820,45
207108,5376,42
207109,108,6
282185,838,1
207115,114,5
207117,947,3
207118,402,3
207119,549,3
206842,887,22
207121,243,2
207122,592,18
207126,198,2
207127,460,11
207128,158,1
207130,326,23
207131,154,3
207139,228,17
207142,247,20
282186,2531,3
207144,359,7
207152,289,4
207153,240,11
207156,171,4
207157,301,1
207158,424,2
207159,155,1
207160,861,3
207161,450,3
207163,1080,3
207167,517,2
207169,268,5
207170,155,3
207171,186,2
207172,169,2
282187,589,1
207173,1140,30
207176,173,9
207178,171,18
207182,204,1
207183,398,1
207185,251,1
207187,192,1
207188,242,1
207190,135,2
207191,170,1
207192,910,3
207198,128,2
207213,773,5
207214,352,6
207215,168,4
207216,145,2
207219,235,4
207220,278,4
207221,216,2
207225,117,3
207233,137,12
207234,293,1
207243,394,4
207246,232,1
207247,280,3
207504,982,25
207250,987,3
207251,285,1
207252,230,3
207248,1293,18
207256,162,4
207257,198,5
207258,850,9
207259,110,3
207265,111,13
207267,1234,40
207269,233,6
207270,165,5
207572,219,2
207280,199,4
207281,174,7
207283,282,1
207284,143,2
207285,245,1
207286,2195,9
207287,379,9
207288,308,6
207289,2084,7
207290,133,24
207291,297,5
207294,121,4
207295,126,7
207296,248,4
207297,111,4
207299,191,8
