tid,views,replies
221029,10578,46
232964,2773,46
259362,3315,45
234580,1032,45
247972,1026,45
263519,1912,45
251852,3031,45
253813,1821,45
259604,2045,45
271156,15931,45
234334,1703,45
270757,2303,45
218127,3721,45
262004,9860,45
271659,1807,45
239790,1407,45
273747,1753,45
226099,1375,45
226880,1642,45
202723,7402,44
243651,1112,44
301829,1927,44
259372,22627,44
241426,1826,44
247935,1213,44
256544,1863,44
216020,5927,44
259152,1046,44
218626,1147,44
219329,1550,44
221275,2317,44
256550,1863,44
255935,1204,43
292472,1894,43
205259,1465,43
248305,1279,43
248599,1053,43
207672,3907,43
209075,1977,43
238757,3602,43
261810,1243,43
256003,1364,43
219631,3443,43
256966,1220,43
251326,1374,43
250835,1188,43
225770,2531,43
256546,1907,42
251003,2472,42
296735,3436,42
207108,5375,42
265380,1124,42
209122,1820,42
261949,1281,42
296967,1443,42
212769,2849,42
269686,1829,42
243337,1244,42
215591,6442,42
215978,51610,42
258701,1341,42
216463,1174,42
273524,1907,42
221657,6850,42
221669,5043,42
242655,1376,42
254501,1525,42
225406,1363,42
204251,1507,41
248451,1001,41
259251,1093,41
211759,1173,41
232921,1236,41
213088,1325,41
301334,1448,41
214141,2816,41
274807,1102,41
214215,4557,41
214328,9110,41
214759,4850,41
261505,1129,41
289138,1578,41
215833,3645,41
266267,2014,41
217379,4861,41
217527,3903,41
256827,2849,41
235123,1672,41
224397,1090,41
299173,2631,41
299205,1182,40
269470,1988,40
253441,1090,40
205664,1585,40
207267,1234,40
207353,1275,40
209785,1062,40
302627,1045,40
266686,1796,40
271506,3707,40
235026,1526,40
256541,1703,40
227262,1847,40
228045,1439,40
249361,1011,40
277868,1703,40
284667,1025,40
217132,2550,40
286278,1069,40
255321,3143,40
248652,1591,40
275652,1374,40
269099,1941,40
224899,1859,40
294343,1455,40
202991,3166,39
203127,1148,39
204175,5120,39
229557,3322,39
299886,1195,39
302844,2451,39
271059,43376,39
266412,1566,39
212066,5245,39
227866,1693,39
213366,1173,39
256552,1553,39
251088,1010,39
253619,1211,39
275232,3957,39
241456,1722,39
267142,2038,39
242757,2881,39
226576,2142,39
288859,1046,38
235573,1834,38
303740,1581,38
261835,2739,38
207870,1420,38
271911,1281,38
208890,2058,38
227195,1192,38
